time,SSD_sum [h],GLO_real_daysum_kWh [kW h m-2],lat,lon
2018-01-01T00:00+00:00,0.0,0.509,48.224236,16.350174
2018-01-02T00:00+00:00,1.5,0.703,48.224236,16.350174
2018-01-03T00:00+00:00,0.0,0.466,48.224236,16.350174
2018-01-04T00:00+00:00,3.0,0.845,48.224236,16.350174
2018-01-05T00:00+00:00,1.3,0.737,48.224236,16.350174
2018-01-06T00:00+00:00,5.5,1.038,48.224236,16.350174
2018-01-07T00:00+00:00,0.3,0.673,48.224236,16.350174
2018-01-08T00:00+00:00,1.0,0.532,48.224236,16.350174
2018-01-09T00:00+00:00,0.0,0.481,48.224236,16.350174
2018-01-10T00:00+00:00,0.0,0.383,48.224236,16.350174
2018-01-11T00:00+00:00,4.5,1.002,48.224236,16.350174
2018-01-12T00:00+00:00,1.0,0.845,48.224236,16.350174
2018-01-13T00:00+00:00,1.3,0.642,48.224236,16.350174
2018-01-14T00:00+00:00,2.3,0.907,48.224236,16.350174
2018-01-15T00:00+00:00,6.5,1.524,48.224236,16.350174
2018-01-16T00:00+00:00,0.8,0.689,48.224236,16.350174
2018-01-17T00:00+00:00,3.5,1.05,48.224236,16.350174
2018-01-18T00:00+00:00,1.5,0.724,48.224236,16.350174
2018-01-19T00:00+00:00,4.0,1.152,48.224236,16.350174
2018-01-20T00:00+00:00,3.8,1.176,48.224236,16.350174
2018-01-21T00:00+00:00,2.0,1.111,48.224236,16.350174
2018-01-22T00:00+00:00,3.3,1.202,48.224236,16.350174
2018-01-23T00:00+00:00,0.8,0.935,48.224236,16.350174
2018-01-24T00:00+00:00,3.0,0.935,48.224236,16.350174
2018-01-25T00:00+00:00,2.5,1.15,48.224236,16.350174
2018-01-26T00:00+00:00,5.8,1.401,48.224236,16.350174
2018-01-27T00:00+00:00,1.0,1.067,48.224236,16.350174
2018-01-28T00:00+00:00,3.8,1.263,48.224236,16.350174
2018-01-29T00:00+00:00,7.8,1.668,48.224236,16.350174
2018-01-30T00:00+00:00,4.3,1.242,48.224236,16.350174
2018-01-31T00:00+00:00,5.5,1.425,48.224236,16.350174
2018-02-01T00:00+00:00,0.0,1.286,48.224236,16.350174
2018-02-02T00:00+00:00,0.0,1.212,48.224236,16.350174
2018-02-03T00:00+00:00,0.8,1.222,48.224236,16.350174
2018-02-04T00:00+00:00,4.3,1.968,48.224236,16.350174
2018-02-05T00:00+00:00,3.5,1.937,48.224236,16.350174
2018-02-06T00:00+00:00,4.8,2.131,48.224236,16.350174
2018-02-07T00:00+00:00,0.3,0.976,48.224236,16.350174
2018-02-08T00:00+00:00,1.5,1.712,48.224236,16.350174
2018-02-09T00:00+00:00,2.5,1.974,48.224236,16.350174
2018-02-10T00:00+00:00,5.0,2.261,48.224236,16.350174
2018-02-11T00:00+00:00,6.5,2.075,48.224236,16.350174
2018-02-12T00:00+00:00,0.0,1.406,48.224236,16.350174
2018-02-13T00:00+00:00,1.3,1.884,48.224236,16.350174
2018-02-14T00:00+00:00,5.0,2.237,48.224236,16.350174
2018-02-15T00:00+00:00,7.8,2.897,48.224236,16.350174
2018-02-16T00:00+00:00,3.5,1.956,48.224236,16.350174
2018-02-17T00:00+00:00,1.8,1.718,48.224236,16.350174
2018-02-18T00:00+00:00,1.0,2.015,48.224236,16.350174
2018-02-19T00:00+00:00,6.3,2.225,48.224236,16.350174
2018-02-20T00:00+00:00,1.3,1.974,48.224236,16.350174
2018-02-21T00:00+00:00,3.0,2.674,48.224236,16.350174
2018-02-22T00:00+00:00,3.5,2.03,48.224236,16.350174
2018-02-23T00:00+00:00,3.0,2.261,48.224236,16.350174
2018-02-24T00:00+00:00,7.8,3.323,48.224236,16.350174
2018-02-25T00:00+00:00,9.5,3.283,48.224236,16.350174
2018-02-26T00:00+00:00,4.8,2.404,48.224236,16.350174
2018-02-27T00:00+00:00,4.5,2.505,48.224236,16.350174
2018-02-28T00:00+00:00,9.8,3.451,48.224236,16.350174
2018-03-01T00:00+00:00,4.8,2.647,48.224236,16.350174
2018-03-02T00:00+00:00,8.3,3.527,48.224236,16.350174
2018-03-03T00:00+00:00,5.8,3.253,48.224236,16.350174
2018-03-04T00:00+00:00,7.8,2.956,48.224236,16.350174
2018-03-05T00:00+00:00,1.3,1.999,48.224236,16.350174
2018-03-06T00:00+00:00,3.3,1.937,48.224236,16.350174
2018-03-07T00:00+00:00,6.8,3.19,48.224236,16.350174
2018-03-08T00:00+00:00,7.5,3.264,48.224236,16.350174
2018-03-09T00:00+00:00,2.8,2.965,48.224236,16.350174
2018-03-10T00:00+00:00,6.5,3.556,48.224236,16.350174
2018-03-11T00:00+00:00,5.3,2.739,48.224236,16.350174
2018-03-12T00:00+00:00,1.5,2.717,48.224236,16.350174
2018-03-13T00:00+00:00,10.0,3.621,48.224236,16.350174
2018-03-14T00:00+00:00,3.0,2.835,48.224236,16.350174
2018-03-15T00:00+00:00,8.3,4.12,48.224236,16.350174
2018-03-16T00:00+00:00,0.3,1.656,48.224236,16.350174
2018-03-17T00:00+00:00,1.8,2.185,48.224236,16.350174
